Nucleotide,Family,Genus,Species,Strain,Genotype,Segment,H5 Clade,Subclade,Host Group,Geographic Location,Host Common Name
3052,PQ711044,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Tiger/USA/24-038158-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Tiger
3053,PQ711050,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-037523-002/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,USA,Turkey
3054,PQ711056,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-037523-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Avian,USA,Turkey
3055,PQ711063,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Bottlenose Dolphin /USA/24-038155-001/2024,H5N1,4.0,2.3.4.4b,C3.1,Sea Mammal,USA,Bottlenose Dolphin
3056,PQ711070,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Bottlenose Dolphin /USA/24-038155-003/2024,H5N1,6.0,2.3.4.4b,C3.1,Sea Mammal,USA,Bottlenose Dolphin
3057,PQ711077,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Bottlenose Dolphin /USA/24-038155-004/2024,H5N1,8.0,2.3.4.4b,C3.1,Sea Mammal,USA,Bottlenose Dolphin
3058,PQ711084,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cat/USA/24-038392-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cat
3059,PQ711090,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-035829-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3060,PQ711096,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-035855-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3061,PQ711103,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-035860-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3062,PQ711110,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-035860-002/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3063,PQ711117,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038276-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3064,PQ711124,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038278-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3065,PQ711130,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038338-002/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3066,PQ711136,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038343-002/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3067,PQ711143,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038343-003/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3068,PQ711150,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038343-005/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3069,PQ711157,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038343-006/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3070,PQ711164,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038344-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3071,PQ711170,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038353-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3072,PQ711176,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038353-002/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3073,PQ711183,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038353-003/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3074,PQ711190,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038355-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3075,PQ711197,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038459-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3076,PQ711204,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038459-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3077,PQ711210,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038463-001/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3078,PQ711216,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038464-001/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3079,PQ711223,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038473-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3080,PQ711230,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038623-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3081,PQ711237,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038623-002/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3082,PQ711244,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038624-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3083,PQ711250,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038625-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3084,PQ711256,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038627-001/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3085,PQ711263,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038627-002/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3086,PQ711270,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038628-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3087,PQ711277,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038628-003/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3088,PQ711284,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038271-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3089,PQ711290,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038272-001/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3090,PQ711296,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038298-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3091,PQ711303,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038303-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3092,PQ711310,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038303-003/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3093,PQ711317,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038306-002/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3094,PQ711324,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038306-003/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3095,PQ711330,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038306-005/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3096,PQ711336,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038318-001/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3097,PQ711343,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038318-003/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3098,PQ711350,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038319-002/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3099,PQ711357,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038320-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3100,PQ711364,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038320-003/2024,H5N1,7.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3101,PQ711370,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038320-004/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3102,PQ711376,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038321-002/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3103,PQ711383,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038322-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3104,PQ711390,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038323-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3105,PQ711397,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038323-002/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3106,PQ711404,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038329-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3107,PQ711410,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038330-001/2024,H5N1,1.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3108,PQ711416,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038333-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3109,PQ711423,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038333-003/2024,H5N1,3.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3110,PQ711430,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038334-002/2024,H5N1,2.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3111,PQ711437,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038335-002/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3112,PQ711444,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038335-003/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3113,PQ711450,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Cattle/USA/24-038338-001/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Cow
3114,PQ711456,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038281-001/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3115,PQ711463,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038428-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3116,PQ711470,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038428-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3117,PQ711477,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038428-003/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3118,PQ711484,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-001/2024,H5N1,2.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3119,PQ711490,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-003/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3120,PQ711496,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-004/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3121,PQ711503,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-005/2024,H5N1,8.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3122,PQ711510,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-006/2024,H5N1,1.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3123,PQ711517,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-008/2024,H5N1,4.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3124,PQ711524,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-009/2024,H5N1,6.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3125,PQ711530,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038444-010/2024,H5N1,3.0,2.3.4.4b,B3.13,Avian,USA,Chicken
3126,PQ711536,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038661-001/2024,H5N1,2.0,2.3.4.4b,A3,Avian,USA,Chicken
3127,PQ711543,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-036523-001/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3128,PQ711550,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038443-001/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3129,PQ711557,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038443-002/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3130,PQ711564,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038443-003/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3131,PQ711570,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038546-001/2024,H5N1,4.0,2.3.4.4b,A3,Avian,USA,Chicken
3132,PQ711576,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038592-001/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3133,PQ711583,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038592-002/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3134,PQ711590,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038617-001/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3135,PQ711597,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038619-001/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3138,PQ711616,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038653-001/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3139,PQ711623,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038654-001/2024,H5N1,4.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3140,PQ711630,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038654-002/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3141,PQ711637,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038654-003/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3142,PQ711644,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-001/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3143,PQ711650,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-003/2024,H5N1,4.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3144,PQ711656,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-004/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3145,PQ711663,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-005/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3146,PQ711670,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-006/2024,H5N1,2.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3147,PQ711677,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-007/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3148,PQ711684,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038656-009/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3149,PQ711690,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038657-001/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3151,PQ711703,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038439-001/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Chicken
3152,PQ711710,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Chicken/USA/24-038441-002/2024,H5N1,6.0,2.3.4.4b,A3,Avian,USA,Chicken
3153,PQ711717,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035869-002/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Duck
3154,PQ711724,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035911-001/2024,H5N1,2.0,2.3.4.4b,D1.1,Avian,USA,Duck
3155,PQ711730,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035912-001/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Duck
3156,PQ711736,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035912-003/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,USA,Duck
3157,PQ711743,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035913-001/2024,H5N1,8.0,2.3.4.4b,D1.1,Avian,USA,Duck
3159,PQ711757,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035913-007/2024,H5N1,4.0,2.3.4.4b,D1.1,Avian,USA,Duck
3160,PQ711764,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035913-008/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Duck
3161,PQ711770,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035913-009/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,USA,Duck
3162,PQ711776,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035915-001/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Duck
3163,PQ711783,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035915-003/2024,H5N1,4.0,2.3.4.4b,D1.1,Avian,USA,Duck
3164,PQ711790,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035915-004/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Duck
3165,PQ711797,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035915-005/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Duck
3166,PQ711804,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Duck/USA/24-035915-006/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Duck
3167,PQ711810,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Fox/USA/24-038266-001/2024,H5N1,4.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Fox
3168,PQ711816,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Fox/USA/24-038266-002/2024,H5N1,6.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Fox
3170,PQ711830,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Guineafowl/USA/24-038546-002/2024,H5N1,2.0,2.3.4.4b,A3,Avian,USA,Guineafowl
3171,PQ711837,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Guineafowl/USA/24-038441-003/2024,H5N1,4.0,2.3.4.4b,A3,Avian,USA,Guineafowl
3172,PQ711844,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Lion/USA/24-038267-001/2024,H5N1,5.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Lion
3173,PQ711850,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Mountain Lion/USA/24-038160-001/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Mountain lion
3177,PQ711877,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/TIGER/USA/24-038268-001/2024,H5N1,8.0,2.3.4.4b,B3.13,Nonhuman Mammal,USA,Tiger
3180,PQ711896,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038393-003/2024,H5N1,5.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3181,PQ711903,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038658-002/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3182,PQ711910,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-036225-002/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3183,PQ711917,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038285-001/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3184,PQ711924,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038442-004/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3187,PQ711943,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038620-001/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3188,PQ711950,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038658-001/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3189,PQ711957,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038393-004/2024,H5N1,3.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3190,PQ711964,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038440-005/2024,H5N1,1.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3191,PQ711970,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038440-010/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3192,PQ711976,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038442-001/2024,H5N1,7.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3193,PQ711983,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038442-002/2024,H5N1,6.0,2.3.4.4b,D1.1,Avian,USA,Turkey
3194,PQ711990,Orthomyxoviridae,Alphainfluenzavirus,Alphainfluenzavirus influenzae,A/Turkey/USA/24-038442-003/2024,H5N1,2.0,2.3.4.4b,D1.1,Avian,USA,Turkey
